hig1_E1,hig1_E2,hig1_E3,hig1_E4,hig1_E5,hig1_E6,hig1_E7,hig1_E8,hig1_E9,hig1_E10,hig1_E11,hig1_E12,hig1_E13,hig1_E14,hig1_E15,hig1_E16,hig1_E17,hig1_E18,hig1_E19,hig1_E20,hig1_E21,hig2_E1,hig2_E2,hig2_E3,hig2_E4,hig2_E5,hig2_E6,hig2_E7,hig2_E8,hig2_E9,hig2_E10,hig2_E11,hig2_E12,hig2_E13,hig2_E14,hig2_E15,hig2_E16,hig2_E17,hig2_E18,hig2_E19,hig2_E20,hig2_E21,hig3_E1,hig3_E2,hig3_E3,hig3_E4,hig3_E5,hig3_E6,hig3_E7,hig3_E8,hig3_E9,hig3_E10,hig3_E11,hig3_E12,hig3_E13,hig3_E14,hig3_E15,hig3_E16,hig3_E17,hig3_E18,hig3_E19,hig3_E20,hig3_E21,hig4_E1,hig4_E2,hig4_E3,hig4_E4,hig4_E5,hig4_E6,hig4_E7,hig4_E8,hig4_E9,hig4_E10,hig4_E11,hig4_E12,hig4_E13,hig4_E14,hig4_E15,hig4_E16,hig4_E17,hig4_E18,hig4_E19,hig4_E20,hig4_E21,hig5_E1,hig5_E2,hig5_E3,hig5_E4,hig5_E5,hig5_E6,hig5_E7,hig5_E8,hig5_E9,hig5_E10,hig5_E11,hig5_E12,hig5_E13,hig5_E14,hig5_E15,hig5_E16,hig5_E17,hig5_E18,hig5_E19,hig5_E20,hig5_E21,hig6_E1,hig6_E2,hig6_E3,hig6_E4,hig6_E5,hig6_E6,hig6_E7,hig6_E8,hig6_E9,hig6_E10,hig6_E11,hig6_E12,hig6_E13,hig6_E14,hig6_E15,hig6_E16,hig6_E17,hig6_E18,hig6_E19,hig6_E20,hig6_E21,hig7_E1,hig7_E2,hig7_E3,hig7_E4,hig7_E5,hig7_E6,hig7_E7,hig7_E8,hig7_E9,hig7_E10,hig7_E11,hig7_E12,hig7_E13,hig7_E14,hig7_E15,hig7_E16,hig7_E17,hig7_E18,hig7_E19,hig7_E20,hig7_E21,hig8_E1,hig8_E2,hig8_E3,hig8_E4,hig8_E5,hig8_E6,hig8_E7,hig8_E8,hig8_E9,hig8_E10,hig8_E11,hig8_E12,hig8_E13,hig8_E14,hig8_E15,hig8_E16,hig8_E17,hig8_E18,hig8_E19,hig8_E20,hig8_E21,hig9_E1,hig9_E2,hig9_E3,hig9_E4,hig9_E5,hig9_E6,hig9_E7,hig9_E8,hig9_E9,hig9_E10,hig9_E11,hig9_E12,hig9_E13,hig9_E14,hig9_E15,hig9_E16,hig9_E17,hig9_E18,hig9_E19,hig9_E20,hig9_E21,hig10_E1,hig10_E2,hig10_E3,hig10_E4,hig10_E5,hig10_E6,hig10_E7,hig10_E8,hig10_E9,hig10_E10,hig10_E11,hig10_E12,hig10_E13,hig10_E14,hig10_E15,hig10_E16,hig10_E17,hig10_E18,hig10_E19,hig10_E20,hig10_E21,hig11_E1,hig11_E2,hig11_E3,hig11_E4,hig11_E5,hig11_E6,hig11_E7,hig11_E8,hig11_E9,hig11_E10,hig11_E11,hig11_E12,hig11_E13,hig11_E14,hig11_E15,hig11_E16,hig11_E17,hig11_E18,hig11_E19,hig11_E20,hig11_E21,Indicator
1.8938,1.948,1.8835,1.8787,1.9331,1.949,1.9737,1.9635,1.9812,1.9775,1.9915,1.9298,1.9181,1.9262,1.914,1.9021,1.9448,1.9607,1.9547,1.9711,1.9644,1.9688,1.9208,1.907,1.9596,1.9378,1.9113,1.909,1.9574,1.9729,1.9851,1.9696,1.9782,1.9805,1.9571,1.9699,1.9596,1.9547,1.9538,1.9839,1.987,1.98,2.0041,2.0017,1.9933,1.9982,1.9898,1.9674,1.9895,1.9941,1.9982,2.0002,2.0034,1.9961,2.0064,1.9053,1.9419,1.9084,1.902,1.9115,1.9265,1.9556,1.9747,1.9889,1.9772,1.9734,1.9734,1.9799,1.9574,1.9586,1.9702,1.9819,1.9733,1.9753,1.9823,1.9787,1.9856,1.9409,1.9406,1.986,1.9303,1.8734,1.9506,1.9608,1.9815,1.9796,1.9715,1.9803,2.0098,2.0122,2.0085,2.0014,2.0113,2.0181,2.0198,2.0214,2.0113,2.0266,2.0105,2.0014,2.0055,2.0108,1.9897,2.0049,2.0127,2.0293,2.0177,2.0027,2.0263,2.0132,1.9999,1.9754,1.9819,1.9701,1.9686,1.9876,1.9896,1.9951,1.9805,1.9941,1.9928,1.9986,2.003,1.9893,1.9801,1.9614,1.9846,1.978,1.9875,1.9871,2.0086,2.0006,1.9978,1.9961,1.9842,1.9669,1.9883,2.0017,1.9754,1.9867,1.9904,1.9996,1.9969,1.9831,1.9601,1.966,1.9494,1.9523,1.9588,1.9575,1.9597,1.9688,1.9769,1.9608,1.9839,1.9849,1.9829,1.971,1.976,1.9869,1.9782,1.9811,1.9985,2.0061,1.9864,1.996,1.9987,1.9803,1.9685,1.9676,1.9734,1.9787,1.9783,1.9859,1.9957,1.9991,1.9826,1.9935,1.9698,1.9581,1.965,1.9654,1.9403,1.9661,1.9659,1.9785,1.9898,1.991,2.0008,1.9814,1.965,1.9723,1.9919,1.9615,1.9763,1.9905,1.9937,1.995,1.9777,1.9436,1.9517,1.9371,1.9362,1.9568,1.9422,1.9455,1.9661,1.9599,1.9596,1.9726,1.9619,1.9729,1.9482,1.9482,1.9625,1.9567,1.9658,1.9777,1.9685,1.9695,1.9688,1.9692,1.9816,1.9341,1.959,1.9642,1.9622,1.9759,1.9704,1.979,1.9788,-
2.0092,1.996,1.9908,2,2.0154,2.0072,2.0149,2.0223,2.0041,1.9891,2.0171,2.0122,2.0027,1.9857,2.0007,2.0118,2.0165,2.0079,2.0159,2.0071,1.9779,2.0022,2.0073,2.0029,1.9818,1.9979,2.0072,1.997,2.0012,2.0003,1.9978,1.9715,1.9858,2.002,2.0071,2.0141,2.021,2.0175,2.003,2.0069,2.0318,1.9903,1.9871,2.0134,2.0177,2.0094,2.0031,2.0006,2.018,2.0278,2.0121,2.0407,2.0134,1.9929,2.003,2.0022,2.0072,2.0025,2.0123,2.0114,2.0052,2.0104,2.0187,2.0054,1.9966,2.0019,1.9917,1.9702,1.9737,1.9863,1.9833,1.9709,1.994,1.9907,1.9774,1.9419,1.9775,2.0051,2.0022,2.0063,2.0089,2.0123,2.0125,2.0282,2.0164,2.0082,1.9958,2.0052,2.0277,2.0044,2.018,2.0109,2.0182,2.0039,2.0268,2.0295,2.0166,2.0009,2.0005,2.0162,2.0227,2.0191,2.0059,1.9941,1.9982,2.0115,2.0131,2.0034,1.9893,1.9984,1.9962,1.9814,1.9702,2.0029,1.993,1.9837,2.0043,2.0014,1.9862,1.9527,1.984,1.9892,1.9805,1.9707,1.9895,1.9756,1.9828,1.9939,1.9904,1.9878,1.9448,1.9764,2.0122,1.993,2.009,2.012,2.003,2.0007,2.0171,2.0281,2.016,1.9949,2.0137,1.9646,1.9146,1.9223,1.9526,1.9506,1.9534,2.0036,1.9881,1.9701,1.9499,2.0032,1.9828,1.9926,1.9997,1.982,1.9768,1.9737,2.0016,1.9853,1.991,1.9813,1.988,1.9537,1.9479,1.9404,1.9809,1.9631,1.9635,1.9916,1.9893,1.9816,1.95,1.9783,1.9488,1.9306,1.9365,1.9458,1.9288,1.9412,1.9858,1.9674,1.9755,1.9459,1.9629,1.9702,1.9561,1.9692,1.9539,1.935,1.9413,1.992,1.9656,1.9646,1.9447,1.9549,1.9653,1.9427,1.9442,1.9472,1.9734,1.9885,2.0089,1.9844,1.9618,1.9547,1.9901,1.9958,1.9903,1.955,1.9686,1.9797,1.9992,2.017,1.9987,1.9649,1.9648,1.9956,1.9277,1.7935,1.921,1.9114,1.9119,1.9223,2.0065,1.9509,1.9483,1.9185,1.9699,-
1.999,1.9774,2.0003,2.0009,2.0053,1.9926,1.9998,1.9862,2.0086,1.9984,2.0089,2.0061,1.9875,2.0077,2.0041,1.9959,2.0049,1.9977,1.9891,2.0104,1.996,2.0106,2.0117,1.9906,2.0158,1.9902,1.9859,1.993,2.0078,2.0117,2.0139,2.0007,1.9857,1.9935,1.9872,2.0005,1.9956,1.9952,1.9903,2.0128,1.991,2.0138,2.0071,2.0017,1.9942,2.0037,2.0183,2.0097,1.9765,2.0285,2.0212,2.0096,2.0133,2.0145,2.0119,1.999,2.0034,2.0124,2.0008,2.0011,1.9857,1.9979,1.9752,1.9986,2.0078,1.9859,2.0063,2.0097,2.0136,1.9975,1.9978,1.987,2.0007,1.98,2.0007,1.9957,1.9976,2.0127,2.0024,2.0191,2.0076,2.0047,1.9887,2.0044,2.0006,2.0039,1.9994,2.0012,1.9981,1.9874,2.0153,2.005,2.0206,2.0132,2.0077,1.9978,2.0097,2.0001,2.016,2.0143,2.0207,2.0167,2.0154,2.015,2.013,2.0274,2.0284,2.014,1.9959,2.0129,2.0087,2.0091,2.0099,2.0053,2.0101,1.999,2.0036,1.9794,2.0068,1.9967,1.9887,2.0048,2.0146,2.0201,1.9953,1.9838,2.0035,1.9941,1.9764,2.0011,1.9994,1.9825,2.0107,2.0082,2.0105,2.0072,1.996,2.0043,2,1.9921,2.0167,2.009,1.9958,2.0003,1.9908,2.0128,1.9809,1.9817,1.991,1.9966,1.9611,1.9862,1.9713,1.9778,1.9939,1.9991,1.9921,1.9665,1.9908,1.9737,1.988,1.983,1.9841,1.9791,1.9875,1.9992,2.0024,2.0224,1.9922,1.9938,1.997,1.9987,1.9862,1.9953,1.9947,1.9841,2.0056,2.0101,2.0199,1.9951,1.9863,1.9881,2.0082,1.9914,2.0132,1.9938,2.0027,2.0083,2.0104,2.0064,1.9862,1.9881,1.9852,1.9992,1.9907,2.0173,1.9921,1.9986,1.9981,2.0133,2.0039,1.9687,1.9828,1.9803,1.9709,1.9697,1.9778,1.9786,1.9714,1.9888,2.0053,2.0045,1.9582,1.9489,1.969,1.984,1.9661,1.9793,1.9777,1.9533,1.9918,1.9952,1.9724,1.9369,1.947,1.9431,1.9735,1.9542,1.9726,1.9572,1.9735,+
2.0173,2.0466,2.0452,2.046,2.043,2.0392,2.0335,2.0356,2.0242,2.0351,2.0305,2.0403,2.0438,2.0599,2.0236,2.065,2.0572,2.0184,2.0307,2.0127,2.0355,2.0265,2.0314,2.0209,2.0134,2.0228,2.0264,2.0318,2.0285,2.0477,2.0012,2.0115,2.0132,2.0229,2.038,2.0181,2.0244,2.0298,2.0277,2.0193,2.0152,2.0313,2.0331,2.0201,2.0295,2.0281,2.0283,2.0235,2.0323,2.0309,2.0313,2.0142,2.02,2.0231,2.0153,2.0283,2.0347,2.0348,2.0441,2.0414,2.0328,2.038,2.0279,2.0268,2.0474,2.0319,2.0305,2.0258,2.0242,2.0206,2.0245,2.0238,2.0298,2.0208,2.0266,2.0142,2.013,2.0387,2.0389,2.0368,2.0322,2.0281,2.037,2.0422,2.0244,2.0218,2.0293,2.0198,2.0152,2.02,2.0158,2.0168,2.0236,2.0219,2.017,2.0222,2.0052,2.0135,2.0102,1.9806,1.9829,1.9766,1.9761,1.9658,1.9507,1.9465,1.954,1.9544,1.9545,1.9457,2.0022,1.9925,2.0088,2.0024,2.0085,1.9966,2.0163,2.0035,1.9862,1.9849,1.9885,2.0079,2.0039,2.0029,2.0109,2.0096,1.9886,2.0164,2.0042,1.9943,1.9913,1.9991,2.0083,1.9842,1.9985,1.9945,1.988,1.9806,1.9939,1.9887,1.9842,1.9788,1.9756,1.9944,1.9924,2.0077,2.003,2.0057,1.9957,2.015,1.988,1.9885,1.9792,1.9889,2.012,1.9791,1.9952,1.9892,1.9849,1.981,1.9907,1.9832,1.9777,1.9686,1.9559,1.9963,1.9749,1.9908,1.9914,1.9912,1.9709,2.0022,1.9717,1.9687,1.9573,1.9778,1.974,1.9464,1.971,1.9807,1.9723,1.9502,1.9726,1.9471,1.9631,1.9558,1.9614,1.9939,1.9633,1.9808,1.9851,1.9751,1.9604,1.9773,1.9712,1.9739,1.9662,1.9697,1.9969,1.9784,2.0058,2.0058,2.008,2.0008,2.0149,2.0025,2.0002,2.0016,1.99,2.0029,1.9849,1.9992,1.9892,1.9928,1.9824,1.9945,1.9877,1.9794,1.9771,1.9703,1.9928,1.9596,1.9834,1.9818,1.977,1.9654,1.9899,1.983,1.9776,1.9756,1.981,+
2.0196,2.0107,2.0184,2.012,2.0234,2.0205,2.023,2.0315,1.9964,1.9904,1.9888,2.0275,2.0167,2.0307,2.0242,2.0273,2.0159,2.0143,2.0261,2.0113,1.9939,2.0118,2.0148,2.0145,2.0289,2.009,2.0032,2.0274,2.0146,2.028,2.017,1.9862,1.9945,2.02,1.999,2.003,2.0086,2.0196,2.0073,2.0103,2.0364,1.9921,1.9936,1.9861,2.0168,2.0162,2.0106,2.0208,2.0162,2.0354,2.0125,2.0279,1.9979,1.971,1.9863,2.0104,2.0221,2.0381,2.0291,2.0243,2.0214,2.0194,2.0239,2.0086,2.0022,1.9946,2.0022,2.0196,2.0272,2.0218,2.0085,2.02,2.0185,2.039,2.0123,2.0153,1.99,2.0059,2.0141,2.0289,2.0226,2.0105,2.0234,2.0131,2.0312,2.0184,1.9876,1.9792,2.0384,2.0186,2.0276,2.0355,2.0227,2.0254,2.0297,2.0337,2.0149,2.019,2.001,2.0012,2.0265,2.0129,2.0231,2.0263,2.0304,2.0402,2.0316,1.9962,1.992,1.9993,2.0229,2.0271,2.0343,2.0312,2.0304,2.0292,2.0327,2.0418,2.0198,2.0119,2.0107,2.0141,2.0278,2.0354,2.0298,2.0282,2.0189,2.0314,2.0351,2.0128,2.014,2.0104,2.0195,2.0231,2.0232,2.0308,2.027,2.0273,2.0271,2.0388,2.0233,2.0216,1.997,2.0193,2.0216,2.0359,2.0398,2.0192,2.0259,2.0421,2.0459,2.0183,2.0357,2.0069,2.0005,1.9971,2.0273,2.0173,2.007,1.9999,2.0024,2.0326,2.0193,2.016,1.9799,2.0221,2.0213,2.0388,2.0311,2.0274,2.0196,2.0302,2.0379,2.0133,2.0225,2.0047,2.0288,2.0349,2.0416,2.0329,2.0257,2.0311,2.0306,2.0381,2.0184,2.0168,2.0024,2.0255,2.025,2.0384,2.031,2.0247,2.0279,2.0195,2.0254,2.0208,2.0232,1.9953,2.0278,2.0209,2.0291,2.0445,2.0256,2.0258,2.0203,2.0322,2.0279,2.0157,1.9963,2.0274,2.0203,2.0295,2.0443,2.0257,2.0255,2.0199,2.0315,2.0279,2.017,1.9979,2.0033,2.0173,2.0371,2.0187,2.0124,2.0124,2.0161,2.0343,2.0337,2.0155,1.9686,+
1.9936,2.0424,2.0027,2.0169,2,2.0013,2.0641,2.0092,1.9922,1.9826,1.9689,1.9926,2.0591,2.0114,2.0569,2.0253,2.0302,2.0608,2.0215,2.023,2.0174,2.0099,2.0103,2.0843,2.0008,2.0333,2.0137,2.0205,2.0551,2.0329,2.0148,2.0176,2.0189,2.0139,2.0165,2.0251,2.036,2.0241,2.0075,2.0671,1.9957,2.0178,2.0221,2.0103,2.0131,2.0216,2.015,2.0302,2.0326,2.0283,2.0655,2.018,2.0227,2.0194,2.0134,2.013,2.0161,2.0134,2.0419,2.0344,2.0273,2.0618,2.0071,2.0156,2.0216,2.0042,2.0048,2.0313,1.9966,2.0411,2.0124,2.0217,2.0277,2.0191,2.0099,2.0216,2.0065,1.9985,2.0082,1.9986,2.008,2.0078,2.0132,2.0673,2.0159,2.0129,2.0261,2.0137,2.0251,2.0504,2.0241,2.0322,2.0315,2.0288,2.0346,2.0252,2.0225,2.0179,2.0093,1.9994,1.9939,1.9945,2.0042,2.0224,1.9866,2.0286,1.9962,2.0055,2.0035,1.9838,2.0294,2.0405,2.0112,2.0336,2.0352,2.015,2.0506,2.0091,2.0048,2.0044,2.006,2.0313,2.0212,2.021,2.0286,2.0411,2.0214,2.0325,2.003,2.0132,2.0187,2.0231,2.0215,2.0225,2.0248,2.0333,2.0318,2.0102,2.0265,2.0073,1.9987,1.976,1.959,2.0165,2.0261,2.0004,2.0076,2.0257,2.0073,2.0207,1.9946,1.9975,1.9986,2.0067,2.011,2.0098,2.03,2.0239,2.0185,2.0247,2.0353,2.004,1.9954,1.9821,2.0008,2.0178,2.0286,2.0015,1.9946,2.0207,2.0147,2.0243,1.9966,2.0046,1.9845,2.0046,2.023,2.028,2.004,2.0158,2.0365,2.012,2.0198,2.0045,2.0039,2.0132,1.9992,2.0318,2.0313,2.0193,2.0206,2.0267,2.0128,2.0235,2.0133,1.9999,2.0055,2.008,2.009,2.0162,1.9876,1.9935,2.0103,1.9992,2.014,1.985,1.9917,1.9805,2.0027,2.013,2.0139,1.9992,2.0102,2.017,2.0036,2.0156,2.006,1.996,2.0005,1.9974,2.0316,2.03,2.0149,2.014,2.0201,2.0133,2.0167,2.0087,2.0058,2.0154,2.0089,+
2.0173,2.017,2.0187,2.0262,2.019,2.0084,2.0122,2.029,2.0302,2.0211,2.0114,2.0241,2.0087,2.0237,2.015,2.0023,2.0158,2.0145,2.0232,2.0035,2.0239,2.0131,2.0179,2.0112,2.0295,2.0091,2.0052,2.0073,1.9917,2.0108,2.031,2.0261,2.0083,2.0329,2.0219,2.0197,2.0219,2.0257,2.0104,2.013,2.0323,2.0268,2.019,2.0143,2.0186,2.0145,2.0241,2.0216,2.0179,2.0254,2.0129,2.0151,2.0203,2.0023,2.0094,2.0375,2.0178,2.0274,2.0286,2.0136,2.0042,2.0166,2.0278,2.0342,2.023,2.0092,2.0025,2.0002,1.9993,2.0063,2.0055,1.9856,1.971,2.0059,2.0087,2.0095,1.9917,2.0135,2.0082,2.0033,2.0046,2.0127,2.0133,1.9967,1.9971,2.0217,2.0178,2.0072,2.0149,2.0048,2.0286,2.0323,2.0247,2.0267,2.0217,2.0333,1.9979,2.0338,2.0107,2.0259,2.0116,2.0053,2.0108,1.9977,2.0245,2.0078,2.0125,2.0084,2.0139,2.0017,2.0047,2.012,2.0084,2.0156,2.0236,2.0206,2.0139,2.0305,2.018,2.0275,2.0183,2.035,1.9976,2.0242,2.0098,2.0137,1.9973,1.9996,2.0085,2.0029,1.9994,1.9955,2.0121,2.0092,2.0193,2.0113,2.0081,2.0123,1.9944,2.0055,2.0287,2.0211,2.0156,2.0321,2.0067,2.0331,2.026,2.0203,2.023,2.0144,2.0338,2.016,2.0199,2.0056,2.0101,2.0042,2.0311,2.0154,2.0159,2.0309,2.0232,2.009,2.0134,2.0323,2.0131,2.0194,2.0028,2.016,2.0051,2.0084,1.9994,1.9987,2.0139,1.9919,2.0162,2.0059,1.9928,1.9868,1.9948,1.9692,1.983,1.9779,1.9745,1.9834,1.9735,1.9936,1.9784,2.008,2.0013,2.0117,1.9984,2.0061,2.0181,2.0117,2.0042,2.0082,2.017,1.9981,1.9881,1.9688,1.9718,1.9611,1.9724,1.9473,1.9514,1.9626,1.9538,1.9752,1.9804,1.9902,1.9689,1.9743,1.9614,1.9707,1.9484,1.9517,1.9646,1.9548,1.9782,1.9861,2.0013,1.9831,1.9901,1.9657,1.9902,1.9819,1.9716,1.9687,1.9797,2.0071,1.9749,+
2.0203,2.0247,2.0031,2.0207,2.0145,1.9693,1.9953,2.0043,2.0183,2.0187,2.0221,2.0188,2.0157,2.0008,2.0133,2.0072,1.983,1.9999,2.0124,2.0173,2.0186,2.0241,2.0259,2.0294,2.0109,2.0084,2.0167,1.9955,2.0129,2.0315,2.0078,2.0289,2.0389,2.0168,2.0236,2.0244,2.018,2.0147,2.0129,2.0213,2.0181,2.023,2.0067,2.02,2.0242,2.0313,2.0035,2.0118,2.0233,2.0161,2.016,2.0143,2.0122,2.0194,2.032,2.0121,2.0283,2.0244,2.0255,2.0234,2.0133,2.0152,2.0046,2.0031,2.0062,2.0105,2.024,2.0264,2.0173,2.0201,2.0231,2.0023,2.012,2.0165,2.0113,2.0221,2.0425,2.0218,2.0364,2.0125,2.0189,2.0234,1.9891,2.0202,2.0145,2.0088,2.0211,2.0289,2.0036,1.9875,1.996,1.9889,2.0242,2.0181,1.9946,1.9948,1.9734,1.9692,1.9735,1.9895,2.0289,2.0196,2.0028,2.0111,2.0036,1.9988,2.0146,2.0157,2.0194,2.0271,2.0242,2.0209,2.0334,2.0233,2.0407,2.0056,2.0271,2.0208,2.0287,2.0222,2.0154,2.0174,2.0236,2.0204,2.0341,2.0311,2.0036,2.0163,2.0234,2.0356,2.0216,2.0123,2.01,2.0137,2.0061,1.9987,2.019,1.9979,1.9954,2.0116,2.0122,2.0301,2.0271,2.0112,2.003,2.0093,2.0202,2.0217,2.0256,2.0139,2.0184,2.0319,2.0236,2.012,2.0095,2.0065,2.0077,2.0123,2.0195,2.0207,2.0068,2.0039,2.0049,2.0213,2.0237,2.0004,2.0014,2.007,2.0129,2.0292,2.0058,2.012,2.0084,2.0417,2.0309,2.0177,1.9898,1.9794,1.977,1.9725,2.0031,1.9857,1.9735,1.9559,2.0087,2.0383,2.0355,2.0133,1.9945,1.9846,1.9779,1.9936,1.9937,1.9567,1.9648,2.0111,2.0358,2.0341,2.0059,2.0019,2.0224,2.0078,2.0116,2.0304,2.0207,2.0231,2.0315,2.0237,2.0031,1.9961,1.9811,1.999,1.9982,2.0174,1.9987,1.995,1.9938,2.0276,2.0175,2.0159,2.0084,1.9959,2.0018,2.0168,2.0008,1.9979,1.9914,1.9806,2.0131,2.0243,2.036,+
2.0075,2.0078,1.9827,1.994,2.018,2.0194,2.0157,2.0264,2.0311,2.0165,2.0073,2.0206,2.0214,2.0093,2.0266,2.0291,2.0311,2.0236,2.0361,2.0293,2.034,2.0133,2.0086,2.0175,1.9887,2.0074,2.0101,2.0023,2.0032,2.0197,2.0209,2.0324,2.005,1.955,1.9529,1.9573,1.9814,2.0142,2.018,2.0261,2.0229,2.0274,2.0006,2.0009,2.0109,2.0097,2.0042,2.0305,2.0075,2.0118,2.0182,2.0308,2.0282,2.0233,2.0105,2.0047,2.0057,2.0035,1.9982,2.0025,1.9969,2.0139,1.9939,2.0139,2.0019,1.9928,2.0188,2.0154,2.006,2.0032,2.0012,1.9992,2.0054,1.9866,2.0014,2.0051,1.9952,2.0273,2.0141,2.0084,2.0161,2.0089,2.011,2.0138,2.0112,2.0115,2.0243,2.0035,2.0179,2.0216,2.0139,2.0168,2.0225,2.0387,2.0362,2.0365,2.0308,2.0212,2.0263,1.9942,1.9766,1.9771,1.9959,1.9947,2.0201,2.0214,1.9863,2.0057,2.0123,2.0194,2.0064,2.0233,2.0204,2.0023,2.0268,2.0142,2.0137,1.9962,2.0154,2.0064,2.0034,2.0072,2.0207,2.0137,2.0029,2.011,1.9975,2.0054,1.9816,1.9984,1.9873,1.9913,2.0188,2.0162,2.0193,2.0134,2.0139,2.0165,2.0084,1.9972,1.9989,2.0132,2.0126,2.0013,2.0217,2.0164,2.0144,2.0255,2.0191,2.0084,2.0066,2.0049,2.0074,2.0193,2.0259,2.016,2.0117,2.0044,2.0005,2.0135,2.0093,1.9963,1.9783,2.0064,1.9962,2.0011,2.0192,2.0085,2.0109,2.0222,2.0112,1.9876,1.9887,1.9873,2.0033,1.9985,2.0098,2.0102,2.027,2.0074,2.0164,2.0199,1.9988,2.0001,2.0013,2.008,2.0037,2.0145,2.0189,2.0144,2.017,2.0056,2.013,1.9999,1.9878,1.9932,2.0024,1.998,1.9989,2.0091,1.9937,1.9971,2.0063,2.0037,1.9823,1.9794,1.969,1.9904,1.9925,2,1.9986,2.0071,2.0126,2.0059,2.0144,1.992,1.9858,1.9741,1.9982,1.9896,2.0182,2.0062,2.0072,2.0064,1.996,2.0132,1.9902,1.9829,1.9819,1.9967,1.9901,+
2.0106,2.0052,2.0163,2.0218,2.0154,2.005,1.9897,1.9919,1.9979,2.0026,2.0026,1.9743,1.9819,2.0095,1.9962,2.003,1.9997,1.994,1.9888,1.9932,2.0057,2.0155,1.9883,1.994,2.0215,2.0205,2.0183,2.019,2.0048,1.9867,1.9865,1.9843,1.9975,1.9984,2.0077,1.9881,2.0269,2.0195,1.9998,1.9862,1.9916,1.9828,1.9939,2.0018,1.9923,1.9893,2.0099,2.0208,1.9984,2.0061,2.001,1.9795,1.9775,1.9958,1.9962,2.0146,2.0153,2.0109,2.0173,2.0019,1.9981,1.9874,1.9943,1.9936,1.9879,2.0208,2.0234,2.0364,2.0168,2.0337,2.0162,2.0209,2.0349,2.0044,2.0014,1.9907,2.0049,1.9936,2.0148,2.0112,2.0207,2.0157,2.0244,2.0103,2.0057,1.9892,1.9829,2.0032,1.9985,1.9997,1.9977,2.0103,2.0196,1.9947,1.9892,1.9807,1.9774,1.981,1.991,2.0057,1.9992,2.0096,2.0055,2.0115,1.9983,2.0012,1.9922,2.0022,1.9994,1.9952,2.0133,2.0026,1.9964,2.0007,1.9922,2.0161,2.0133,2.0075,2.0188,2.0083,2.0119,2.0233,2.0181,2.0141,2.0257,2.0241,2.0353,2.0177,2.0215,2.0215,2.0219,2.0316,2.0116,2.0206,2.0012,2.019,2.0195,2.0221,2.0291,2.0158,2.0092,2.0006,2.024,2.0112,2.0125,2.0122,1.9993,2.0099,2.0237,2.0067,2.0095,2.0074,2.0071,2.0154,2.0223,2.0198,2.0093,2.0033,2.0086,2.022,2.0183,2.0266,2.0131,2.0094,2.0071,2.0065,1.9986,1.9859,1.9996,2.0184,2.038,2.0256,2.024,2.0242,2.0189,2.0263,2.0292,2.0147,2.0183,2.0196,2.0103,2.0454,2.0163,2.0218,2.0107,2.0251,2.0182,2.0164,2.0216,2.0131,2.0167,1.9984,2.0312,2.0154,2.0221,2.0183,2.0224,2.024,2.018,2.0124,2.0191,1.9923,2.0155,2.0309,2.001,2.0234,2.0193,2.0097,2.0203,2.0058,1.9892,2.0022,1.9924,2.0037,2.0119,1.9901,2.0203,2.0256,2.0097,2.0212,2.0088,2.0239,1.999,1.9986,2.0123,2.0381,2.0088,2.022,2.0195,2.0338,2.0184,+
